month,vendor_id,reason,row_count
2026-07,2,ZERO_DISTANCE,115394
2026-07,7,NONPOSITIVE_DURATION,42040
2026-07,2,UNKNOWN_DROPOFF_ZONE,19950
2026-07,2,NONPOSITIVE_TOTAL,14762
2026-07,2,NEGATIVE_FARE,14200
2026-07,1,DUPLICATE,13545
2026-07,1,ZERO_DISTANCE,11929
2026-07,1,UNKNOWN_DROPOFF_ZONE,4974
2026-07,2,UNKNOWN_PICKUP_ZONE,4428
2026-07,1,UNKNOWN_PICKUP_ZONE,1749
2026-07,7,ZERO_DISTANCE,999
2026-07,1,IMPLAUSIBLE_SPEED,945
2026-07,2,DURATION_OVER_MAX,924
2026-07,1,NONPOSITIVE_TOTAL,491
2026-07,1,NONPOSITIVE_DURATION,245
2026-07,2,IMPLAUSIBLE_SPEED,197
2026-07,7,UNKNOWN_DROPOFF_ZONE,169
2026-07,2,DISTANCE_OVER_MAX,147
2026-07,1,DURATION_OVER_MAX,76
2026-07,6,NONPOSITIVE_TOTAL,55
2026-07,2,PICKUP_OUTSIDE_MONTH,46
2026-07,2,NONPOSITIVE_DURATION,31
2026-07,1,DISTANCE_OVER_MAX,25
2026-07,7,UNKNOWN_PICKUP_ZONE,18
2026-07,6,IMPLAUSIBLE_SPEED,6
2026-07,6,UNKNOWN_PICKUP_ZONE,5
2026-07,6,UNKNOWN_DROPOFF_ZONE,3
2026-07,6,DURATION_OVER_MAX,2
