month,vendor_id,reason,row_count
2026-06,2,ZERO_DISTANCE,116131
2026-06,7,NONPOSITIVE_DURATION,49524
2026-06,2,UNKNOWN_DROPOFF_ZONE,18353
2026-06,2,NONPOSITIVE_TOTAL,14374
2026-06,2,NEGATIVE_FARE,13648
2026-06,1,ZERO_DISTANCE,11076
2026-06,1,UNKNOWN_DROPOFF_ZONE,5271
2026-06,2,UNKNOWN_PICKUP_ZONE,4507
2026-06,1,UNKNOWN_PICKUP_ZONE,2039
2026-06,2,DURATION_OVER_MAX,1049
2026-06,7,ZERO_DISTANCE,899
2026-06,1,IMPLAUSIBLE_SPEED,762
2026-06,1,NONPOSITIVE_TOTAL,440
2026-06,1,NONPOSITIVE_DURATION,246
2026-06,2,IMPLAUSIBLE_SPEED,219
2026-06,7,UNKNOWN_DROPOFF_ZONE,170
2026-06,2,DISTANCE_OVER_MAX,138
2026-06,6,NONPOSITIVE_TOTAL,114
2026-06,1,DURATION_OVER_MAX,54
2026-06,2,NONPOSITIVE_DURATION,36
2026-06,7,UNKNOWN_PICKUP_ZONE,21
2026-06,2,PICKUP_OUTSIDE_MONTH,17
2026-06,6,IMPLAUSIBLE_SPEED,11
2026-06,6,UNKNOWN_DROPOFF_ZONE,10
2026-06,1,DISTANCE_OVER_MAX,10
2026-06,6,DURATION_OVER_MAX,4
2026-06,6,UNKNOWN_PICKUP_ZONE,2
2026-06,7,DISTANCE_OVER_MAX,1
2026-06,6,NONPOSITIVE_DURATION,1
