month,zone_id,borough,zone_name,raw_pickups,valid_pickups,published_pickups,raw_minus_published,gap_pct
2026-06,264,Unknown,N/A,4175,0,,4175,
2026-06,265,N/A,Outside of NYC,2394,0,,2394,
2026-06,236,Manhattan,Upper East Side North,157113,149594,156109,1004,0.64
2026-06,237,Manhattan,Upper East Side South,177610,170440,176639,971,0.55
2026-06,161,Manhattan,Midtown Center,161198,154405,160528,670,0.42
2026-06,142,Manhattan,Lincoln Square East,111838,106839,111254,584,0.52
2026-06,1,EWR,Newark Airport,569,109,,569,
2026-06,162,Manhattan,Midtown East,119615,114604,119073,542,0.46
2026-06,239,Manhattan,Upper West Side South,101528,96515,101028,500,0.49
2026-06,186,Manhattan,Penn Station/Madison Sq West,107606,102870,107180,426,0.4
2026-06,141,Manhattan,Lenox Hill West,88508,84199,88115,393,0.45
2026-06,163,Manhattan,Midtown North,97470,93481,97106,364,0.37
2026-06,68,Manhattan,East Chelsea,100658,94823,100297,361,0.36
2026-06,238,Manhattan,Upper West Side North,74279,70097,73932,347,0.47
2026-06,170,Manhattan,Murray Hill,104292,98702,103949,343,0.33
2026-06,138,Queens,LaGuardia Airport,100818,96094,100476,342,0.34
2026-06,230,Manhattan,Times Sq/Theatre District,109968,105248,109634,334,0.3
2026-06,132,Queens,JFK Airport,148172,135438,147843,329,0.22
2026-06,234,Manhattan,Union Sq,98290,93251,97966,324,0.33
2026-06,263,Manhattan,Yorkville West,73758,70007,73451,307,0.42
2026-06,140,Manhattan,Lenox Hill East,76368,72125,76083,285,0.37
2026-06,48,Manhattan,Clinton East,91820,87152,91557,263,0.29
2026-06,107,Manhattan,Gramercy,72938,69107,72683,255,0.35
2026-06,43,Manhattan,Central Park,51713,49562,51462,251,0.49
2026-06,249,Manhattan,West Village,84086,80622,83856,230,0.27
2026-06,79,Manhattan,East Village,99792,95099,99572,220,0.22
2026-06,229,Manhattan,Sutton Place/Turtle Bay North,63374,60560,63163,211,0.33
2026-06,164,Manhattan,Midtown South,76435,72332,76229,206,0.27
2026-06,262,Manhattan,Yorkville East,57227,54081,57036,191,0.33
2026-06,90,Manhattan,Flatiron,59976,56869,59786,190,0.32
2026-06,113,Manhattan,Greenwich Village North,51957,49343,51783,174,0.34
2026-06,246,Manhattan,West Chelsea/Hudson Yards,76799,71608,76630,169,0.22
2026-06,114,Manhattan,Greenwich Village South,53181,50921,53033,148,0.28
2026-06,143,Manhattan,Lincoln Square West,46239,43495,46093,146,0.32
2026-06,137,Manhattan,Kips Bay,45740,42741,45594,146,0.32
